,CCA Cooling,Cooling plant sensible load,Radiators,CCA Heating,Heating plant sensible load,AHU Cooling,AHU Heating
7785,3031,3031,13383,17369,30752,0,1805
7786,2995,2995,12525,17493,30019,0,1808
7787,2964,2964,11466,17600,29067,0,1808
7788,2937,2937,15806,17688,33495,0,1804
7789,2914,2914,16501,17763,34264,0,1798
7790,2895,2895,16168,17827,33995,0,1796
7791,2879,2879,15230,17885,33116,0,1796
7792,2866,2866,17110,17940,35051,0,1794
7793,2855,2855,18512,17996,36509,0,1793
7794,2845,2845,13942,18055,31998,0,1939
7795,2836,2836,12502,18112,30614,0,1936
7796,2827,2827,8161,18165,26327,0,1935
7797,2820,2820,21371,18214,39586,0,1936
7798,2813,2813,23994,18262,42256,0,1937
7799,2805,2805,24892,18307,43199,0,1938
7800,2795,2795,26897,17753,44650,0,1939
7801,2785,2785,29083,17879,46962,0,2041
7802,2773,2773,30708,17953,48662,0,2485
7803,2758,2758,31290,18027,49318,0,2717
7804,2743,2743,30616,18098,48715,0,2552
7805,2726,2726,30519,18171,48690,0,2486
7806,2708,2708,30734,18242,48977,0,2607
7807,2690,2690,13544,18311,31856,0,1959
7808,2670,2670,10986,18381,29367,0,1788
7809,2651,2651,17253,18447,35701,0,1792
